"gene"	"freq_DE"	"freq_lasso"
"518"	"SCN3A"	100	0
"519"	"SDC4"	100	2
"520"	"SDHAP1"	100	58
"521"	"SDK2"	100	0
"522"	"SELENOP"	100	4
"523"	"SEPT11"	100	16
"524"	"SEPT9"	100	0
"525"	"SERINC5"	100	4
"526"	"SERPINB1"	100	0
"527"	"SERPINB2"	100	2
"528"	"SERPINB9"	100	0
"529"	"SERPING1"	100	23
"530"	"SETBP1"	100	0
"531"	"SFMBT1"	94	0
"532"	"SFXN1"	100	0
"533"	"SGPP1"	100	2
"534"	"SH3BP5"	100	1
"535"	"SIDT1"	100	0
"536"	"SIT1"	100	0
"537"	"SKAP1"	100	0
"538"	"SLAMF1"	100	0
"539"	"SLAMF7"	100	0
"540"	"SLC17A9"	100	0
"541"	"SLC27A2"	100	0
"542"	"SLC29A1"	98	0
"543"	"SLC2A5"	100	0
"544"	"SLC30A4"	100	1
"545"	"SLC38A1"	100	0
"546"	"SLC4A1"	100	1
"547"	"SLC7A7"	73	0
"548"	"SMAD7"	100	0
"549"	"SMYD3"	100	0
"550"	"SNHG14"	100	1
"551"	"SNN"	100	1
"552"	"SNRPN"	100	0
"553"	"SNTB1"	100	0
"554"	"SNTB2"	100	2
"555"	"SNURF"	100	1
"556"	"SOX4"	100	0
"557"	"SP140"	100	0
"558"	"SP4"	100	0
"559"	"SPART"	100	31
"560"	"SPIB"	100	0
"561"	"SPINK2"	100	4
"562"	"SPOCK2"	100	0
"563"	"SRD5A3"	100	0
"564"	"SRGN"	100	0
"565"	"ST3GAL5"	100	0
"566"	"ST6GAL1"	100	0
"567"	"STAB1"	100	15
"568"	"STAG3"	100	8
"569"	"STAR"	100	6
"570"	"STEAP3"	100	0
"571"	"STEAP4"	100	0
"572"	"STOM"	37	0
"573"	"STX7"	99	0
"574"	"SYNE1"	100	1
"575"	"SYNE2"	100	0
"576"	"SYNGR1"	100	0
"577"	"SYNRG"	100	0
"578"	"SYTL2"	100	0
"579"	"TBC1D1"	100	0
"580"	"TBC1D4"	100	0
"581"	"TBC1D9"	100	0
"582"	"TBX21"	100	0
"583"	"TCF4"	100	0
"584"	"TCF7"	100	0
"585"	"TCL1A"	100	0
"586"	"TFEB"	100	0
"587"	"TFEC"	100	0
"588"	"TFPI"	100	99
"589"	"TFR2"	100	0
"590"	"TFRC"	97	0
"591"	"TGFBI"	100	0
"592"	"TGFBR2"	100	0
"593"	"TGFBR3"	100	0
"594"	"TIAM1"	100	0
"595"	"TIE1"	100	0
"596"	"TIMP1"	100	0
"597"	"TLE1"	100	94
"598"	"TLR1"	95	0
"599"	"TLR7"	100	0
"600"	"TM4SF1"	100	19
"601"	"TM7SF3"	100	0
"602"	"TMEM131L"	100	0
"603"	"TMEM2"	100	0
"604"	"TMEM243"	100	19
"605"	"TMEM268"	100	0
"606"	"TNFRSF17"	100	0
"607"	"TPD52"	100	1
"608"	"TPP1"	100	31
"609"	"TPSB2"	100	78
"610"	"TPX2"	100	0
"611"	"TRAC"	100	0
"612"	"TRAF3IP3"	100	0
"613"	"TRAT1"	100	0
"614"	"TRDC"	100	0
"615"	"TRGC2"	93	0
"616"	"TRH"	100	0
"617"	"TRIB1"	100	1
"618"	"TRIB2"	100	0
"619"	"TSPAN14"	97	0
"620"	"TTC13"	100	0
"621"	"TTC22"	100	0
"622"	"TTN"	82	0
"623"	"TUBB1"	100	0
"624"	"TUBB6"	100	34
"625"	"TWSG1"	88	1
"626"	"TYMS"	100	0
"627"	"UBASH3A"	100	0
"628"	"VAMP1"	19	0
"629"	"VNN2"	100	0
"630"	"VPREB1"	100	0
"631"	"VPREB3"	100	0
"632"	"WFDC1"	100	0
"633"	"WLS"	100	56
"634"	"WT1"	100	9
"635"	"WWC3"	100	0
"636"	"YPEL1"	100	0
"637"	"ZAP70"	100	0
"638"	"ZBP1"	100	0
"639"	"ZBTB16"	94	0
"640"	"ZBTB18"	100	0
"641"	"ZEB1"	100	0
"642"	"ZFP36L1"	100	2
"643"	"ZHX2"	100	0
"644"	"ZNF107"	99	0
"645"	"ZNF423"	100	1
"646"	"ZYX"	100	0
"647"	"AK1"	46	35
"648"	"ARHGAP29"	40	1
"649"	"BACE1"	98	0
"650"	"BCL2L11"	2	0
"651"	"BSPRY"	49	0
"652"	"C3orf14"	26	75
"653"	"CCDC88C"	7	0
"654"	"DNAJC6"	67	0
"655"	"DPP4"	96	0
"656"	"EVA1B"	72	0
"657"	"FHIT"	22	0
"658"	"FPR2"	50	72
"659"	"GPR137B"	3	0
"660"	"GPR65"	67	0
"661"	"HIST1H3H"	39	0
"662"	"HYMAI"	49	2
"663"	"IL18RAP"	35	0
"664"	"IL4R"	76	0
"665"	"IRF2"	52	0
"666"	"JMJD1C"	33	0
"667"	"KAT2B"	41	0
"668"	"KIAA1551"	96	0
"669"	"MAF"	29	0
"670"	"NCF1B"	64	0
"671"	"NOSIP"	66	0
"672"	"P2RY1"	61	0
"673"	"PATJ"	17	0
"674"	"PIEZO1"	59	0
"675"	"PIK3IP1"	59	0
"676"	"PITPNC1"	71	0
"677"	"PPP2R5C"	86	0
"678"	"PTPRJ"	50	0
"679"	"REEP5"	56	0
"680"	"RGL1"	69	0
"681"	"SERPINB10"	95	0
"682"	"SKIL"	90	0
"683"	"SP110"	54	0
"684"	"SP140L"	88	0
"685"	"TAP1"	33	0
"686"	"TMEM204"	19	0
"687"	"TNRC6B"	80	0
"688"	"TULP4"	30	0
"689"	"ZNF804A"	93	0
"690"	"ARHGAP22"	39	0
"691"	"BTBD3"	83	0
"692"	"CPD"	5	0
"693"	"DLGAP5"	35	0
"694"	"DLK1"	44	84
"695"	"RIPK2"	56	9
"696"	"STAT4"	63	0
"697"	"ZWINT"	58	0
"698"	"AQP3"	27	0
"699"	"BPI"	73	0
"700"	"CAVIN2"	4	4
"701"	"CX3CR1"	2	0
"702"	"FGD2"	2	0
"703"	"HACD1"	15	0
"704"	"ICOS"	10	0
"705"	"IKZF2"	24	0
"706"	"IMPDH2"	9	0
"707"	"MFAP3L"	44	0
"708"	"MFSD10"	54	0
"709"	"SPRY2"	20	0
"710"	"TEX30"	40	0
"711"	"TXK"	7	0
"712"	"VEGFA"	39	0
"713"	"ZNF573"	20	0
"714"	"CLEC5A"	15	0
"715"	"PTPN4"	15	0
"716"	"RCN1"	12	0
"717"	"VIM"	76	0
"718"	"ACVR2A"	2	0
"719"	"ANKHD1"	1	2
"720"	"HIST2H2AA3"	7	0
"721"	"KCNJ15"	9	0
"722"	"NUMB"	1	15
"723"	"OFD1"	16	0
"724"	"PHLDA2"	12	37
"725"	"PTPN14"	5	0
"726"	"TRAPPC10"	4	0
"727"	"CRIM1"	5	0
"728"	"ZNF185"	16	0
"729"	"HLA-DQA2"	8	0
"730"	"RCAN3"	2	0
"731"	"ANPEP"	20	0
"732"	"ARPP21"	23	0
"733"	"ST8SIA4"	1	0
"734"	"TMCO3"	9	0
"735"	"NOCT"	23	1
"736"	"ZNF232"	7	0
"737"	"CYBRD1"	10	0
"738"	"LTBR"	3	2
"739"	"TYROBP"	8	0
"740"	"FCGR1B"	9	0
"741"	"ADAM28"	2	10
"742"	"FECH"	6	0
"743"	"LYL1"	18	0
"744"	"UGCG"	5	0
"745"	"CD200"	1	0
"746"	"CCR2"	1	0
"747"	"EPB41L3"	1	0
"748"	"FAM153B"	1	0
"749"	"FCGR2B"	2	0
"750"	"FPR1"	1	0
"751"	"GRAP2"	1	42
"752"	"GRB10"	7	0
"753"	"LILRA5"	1	0
"754"	"MLH3"	2	0
"755"	"PRC1"	1	0
"756"	"RBM47"	2	0
"757"	"SIRPG"	1	0
"758"	"STAT1"	1	0
"759"	"TNFSF10"	1	0
"760"	"TOP2A"	6	0
"761"	"TRAV13-1"	1	0
"762"	"TTK"	9	0
"763"	"MMRN1"	10	0
"764"	"HOXB2"	2	0
"765"	"CTSD"	3	0
"766"	"NID1"	1	0
"767"	"MGAT4A"	2	0
"768"	"DNAJC3"	1	14
"769"	"TUBA4A"	1	0
"770"	"FOS"	9	0
"771"	"EAF2"	2	0
"772"	"PDZD8"	2	0
"773"	"SLC39A8"	1	0
"774"	"ARG1"	1	0
"775"	"SLC22A4"	1	0
"776"	"LSR"	2	0
"777"	"KLF1"	2	0
"778"	"UBE2C"	2	0
"779"	"RFX2"	1	0
"780"	"SGCE"	1	0
"781"	"GSE1"	1	0
"782"	"LRIG2"	1	0
"783"	"ZNF318"	1	0
"784"	"PDPK1"	1	0
"785"	"ALDH1A1"	1	28
"786"	"ACVRL1"	0	12
"787"	"ADAMTSL4"	0	15
"788"	"AFF4"	0	59
"789"	"ALDOAP2"	0	1
"790"	"ALOX12"	0	58
"791"	"AMT"	0	80
"792"	"AP2B1"	0	71
"793"	"ARHGEF12"	0	1
"794"	"ARTN"	0	10
"795"	"ATP9A"	0	100
"796"	"BATF3"	0	54
"797"	"BRCA2"	0	45
"798"	"CA4"	0	14
"799"	"CD177"	0	27
"800"	"CKB"	0	27
"801"	"CNTN5"	0	3
"802"	"COL1A2"	0	17
"803"	"CRADD"	0	96
"804"	"CRISP2"	0	44
"805"	"CRISP3"	0	1
"806"	"CSN1S1"	0	82
"807"	"CTDSPL"	0	93
"808"	"CTTN"	0	79
"809"	"CXCL6"	0	66
"810"	"CYP4F3"	0	6
"811"	"DYNC1LI2"	0	39
"812"	"ELOVL5"	0	26
"813"	"EOGT"	0	7
"814"	"EPS8"	0	37
"815"	"FN1"	0	66
"816"	"FZD5"	0	19
"817"	"GALNT11"	0	24
"818"	"GMFG"	0	22
"819"	"GNAZ"	0	45
"820"	"GOLGA8F"	0	37
"821"	"GPR183"	0	14
"822"	"HBBP1"	0	40
"823"	"HIST1H4C"	0	100
"824"	"HPSE2"	0	3
"825"	"IL9RP3"	0	1
"826"	"ITIH4"	0	25
"827"	"KLF5"	0	10
"828"	"KRTAP1-1"	0	1
"829"	"LECT2"	0	9
"830"	"LIPC"	0	64
"831"	"MAOA"	0	64
"832"	"MLF1"	0	94
"833"	"MUC1"	0	99
"834"	"NAV2"	0	46
"835"	"NCSTN"	0	50
"836"	"NEUROG3"	0	16
"837"	"NOMO1"	0	30
"838"	"NSUN3"	0	57
"839"	"ORAI2"	0	6
"840"	"PABPC1P3"	0	7
"841"	"PCDHGC3"	0	8
"842"	"PCOLCE2"	0	56
"843"	"PDE4D"	0	5
"844"	"PDZRN4"	0	61
"845"	"PKP2"	0	66
"846"	"PLOD2"	0	95
"847"	"PRAME"	0	77
"848"	"PRG3"	0	74
"849"	"PTGDS"	0	2
"850"	"REST"	0	3
"851"	"ROBO4"	0	16
"852"	"RPL13AP20"	0	8
"853"	"RTN2"	0	94
"854"	"SDF2"	0	24
"855"	"SERPINE2"	0	16
"856"	"SIGLEC6"	0	28
"857"	"SLC25A5"	0	40
"858"	"SLC4A3"	0	30
"859"	"SLCO1C1"	0	3
"860"	"SLITRK5"	0	89
"861"	"SNF8"	0	37
"862"	"SOCS2"	0	23
"863"	"SOCS3"	0	24
"864"	"SOSTDC1"	0	48
"865"	"SPP1"	0	23
"866"	"TAC1"	0	10
"867"	"TATDN2"	0	97
"868"	"TCTN3"	0	32
"869"	"TMEM160"	0	17
"870"	"TRIP10"	0	59
"871"	"TTC39A"	0	5
"872"	"TWIST1"	0	3
"873"	"ZC4H2"	0	69
"874"	"ZIC1"	0	1
"875"	"ZSCAN31"	0	1
"876"	"ACE2"	0	6
"877"	"AMN"	0	34
"878"	"ARL2"	0	3
"879"	"ARMCX3"	0	22
"880"	"ASAP2"	0	34
"881"	"ATXN3L"	0	9
